"CD_TOPIC";"LB_TOPIC_DESC";"CD_DIVISION";"LB_DIVISION_DESC"
"ISIB-12e-2015";"Sustainable livestock production";"EU.3.2.";"Food security, sustainable agriculture and forestry, marine and maritime and inland water research and the bioeconomy"
"ISIB-12f-2015";"Biomarkers for nutrition and health";"EU.3.2.";"Food security, sustainable agriculture and forestry, marine and maritime and inland water research and the bioeconomy"
"ISIB-13-2015";"Coordination action in support of the implementation by participating States of a Joint Programming Initiative on ‘A Healthy Diet for a Healthy Life’";"EU.3.2.";"Food security, sustainable agriculture and forestry, marine and maritime and inland water research and the bioeconomy"
"ISSI-1-2014";"Pan-European public outreach: exhibitions and science cafés engaging citizens in science";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-1-2015";"Pan-European public outreach: exhibitions and science cafés engaging citizens in science";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-2-2014";"Citizens and multi-actor engagement for scenario building";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-3-2015";"Knowledge Sharing Platform";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-4-2015";"On-line mechanisms for knowledge-based policy advice";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-5-2014";"Supporting structural change in research organisations to promote Responsible Research and Innovation";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"ISSI-5-2015";"Supporting structural change in research organisations to promote Responsible Research and Innovation";"EU.5.c.";"Integrate society in science and innovation issues, policies and activities in order to integrate citizens' interests and values and to increase the quality, relevance, social acceptability and sustainability of research and innovation outcomes in various"
"IT-1-2014";"Small business innovation research for Transport";"EU.2.3.1.";" Mainstreaming SME support, especially through a dedicated instrument"
"IT-1-2014";"Small business innovation research for Transport";"EU.3.4.";"Smart, green and integrated transport"
"IT-1-2014-1";"Small business innovation research for Transport";"EU.2.3.1.";" Mainstreaming SME support, especially through a dedicated instrument"
"IT-1-2014-1";"Small business innovation research for Transport";"EU.3.4.";"Smart, green and integrated transport"
"IT-1-2015";"Small business innovation research for Transport";"EU.2.3.1.";" Mainstreaming SME support, especially through a dedicated instrument"
"IT-1-2015";"Small business innovation research for Transport";"EU.3.4.";"Smart, green and integrated transport"
"IT-1-2015-1";"Small business innovation research for Transport";"EU.2.3.1.";" Mainstreaming SME support, especially through a dedicated instrument"
"IT-1-2015-1";"Small business innovation research for Transport";"EU.3.4.";"Smart, green and integrated transport"
"JTI-CS2-2014-CFP01-AIR-01-01";"Aerodynamic and acoustic capabilities developments for close coupling, high bypass ratio turbofan Aircraft integration";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-02";"Advanced predictive models development and simulation capabilities for Engine design space exploration and performance optimization";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-03";"CROR Engine debris Impact. Shielding design, manufacturing, simulation and Impact test preparation";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-04";"Aero-acoustic experimental characterization of a CROR (Contra Rotating Open Rotor) engine WT model with core flow in propellers architecture";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-05";"Blade FEM impact simulations and sample manufacturing for CROR Aircraft";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-06";"Design and demonstration of a laminar nacelle concept for business jet";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-01-07";"Eco Design for Airframe - Re-use of Thermoplastics Composites";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-01";"Flightworthy Flush & Lightweight doors for unpressurized Fast Rotorcraft";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-02";"Bird strike - Erosion resistant and fast maintainable windshields";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-03";"Curved stiffened panels in thermoplastics by preindustrial ISC process";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-04";"New enhanced acoustic damping composite material";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-05";"Structural bonded repair of monolithic composite airframe";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-06";"Simulation tool development for a composite manufacturing process default prediction integrated into a quality control  system";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-AIR-02-07";"Design Against Distortion: Part distortion prediction, design for minimized distortion, metallic aerospace parts";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2014-CFP01-ENG-01-01";"Engine Mounting System (EMS) for Ground Test Demo";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-02-01";"Development of an all-oxide Ceramic Matrix Composite (CMC) Engine Part";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-03-01";"Characterisation of Thermo-mechanical Fatigue Behaviour";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-03-02";"Advanced analytical tool for the understanding and the prediction of core noise for large civil aero engine with low emission core";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-03-03";"VHBR Engine - Advanced bearing technology";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-03-04";"Crack growth threshold analysis in TiAl alloys";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-04-01";"Power Density improvement demonstrated on a certified engine";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-04-02";"High Performance Turbocharger";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-04-03";"Alternative Architecture Engine research";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-ENG-04-04";"Engine Installation Optimization";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2014-CFP01-FRC-02-01";"Support to the aerodynamic and aeroelastic analysis of a trimmed, complete compound R/C and related issues";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-02";"Aerodynamic and functional design study of a full-fairing semi-watertight concept for an articulated rotor head";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-03";"Support to the aerodynamic analysis and design of propellers of a compound helicopter";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-04";"Tools development for aerodynamic optimization on engine air intake";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-05";"HVDC Starter/Generator";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-06";"High Voltage Network Battery";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-07";"Power Conversion";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-FRC-02-08";"HVDC Network management";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2014-CFP01-LPA-01-01";"OPEN ROTOR Engine Mounting System";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-01-02";"Support to future CROR and UHBR  propulsion system maturation";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-01-03";"Development of advanced laser-beam welding technology for the manufacturing of structures for titanium HLFC structures";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-01";"Cost Reduction On Composite Structure Assembly – Blind fastener inspection technology for quality control";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-02";"Cost Reduction On Composite Structure Assembly - Definition And Development Of An Inspection Tool To Characterize Inner Surface Hole Quality";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-03";"Rapid Assembly Of Bracket For Structure-System Integration";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-04";"Automation in Final Aircraft Assembly Lines and Enabling Technologies";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-05";"Environmental Friendly Fire Suppression";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-02-06";"Development of Thermoelastic Stress Analysis for the detection of stress hotspots during structural testing";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-03-01";"Process and Methods for E2E Maintenance Architecture development and demonstrations and solutions for technology integration";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-03-02";"Aircraft System Prognostic solutions integrated into an airline E2E maintenance operational context";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-LPA-03-03";"Airline Maintenance Operations implementation of an E2E Maintenance Service Architecture and its enablers";"EU.3.4.5.1.";"IADP Large Passenger Aircraft"
"JTI-CS2-2014-CFP01-REG-02-01";"Aerodynamic characterization of control devices for wing loads control and aircraft response characterization of a regional turboprop aircraft";"EU.3.4.5.2.";"IADP Regional Aircraft"
"JTI-CS2-2014-CFP01-SYS-02-01";"Smart Integrated Wing – Life extended hydrostatic & lubricated systems";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-02";"Modular, scalable, multi-function, high power density power controller for electric taxi";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-03";"Robust  package for harsh environment and optimization of electrical characteristic of rectifier bridge using high current diode";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-04";"Smart Oil pressure sensors for oil cooled starter/generator";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-05";"Instrumented bearing for oil cooled starter/generator";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-06";"Evaluate mechanical and fatigue capabilities for diode die in harsh environment";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-07";"Development of MODELICA libraries for ECS and thermal management architectures";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2014-CFP01-SYS-02-08";"Embedded sensors technology for air quality measurement";"EU.3.4.5.6.";"ITD Systems"
"JTI-CS2-2015-CFP02-AIR-01-08";"CROR Engine debris Middle level Impact and mechanical test";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-09";"Experimental characterization of turbulent pressure fluctuations on realistic Contra-Rotating Open Rotor (CROR) 2D airfoil in representative high subsonic Mach number.";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-10";"Erosion-resistant functional coatings";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-11";"High accuracy and low intrusiveness in-flight wing shape and temperature measurements";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-12";"Tool-Part-Interaction simulation process linked to laminate quality";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-13";"Complex (composite) part Ultrasonic inspection facilitated by man-robot collaboration";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-01-14";"Technology evaluation of immersive technologies for in-flight applications";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-08";"Ice protection system based on two-phase heat transport technologies integrated in representative engine intake structure";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-09";"HVDC Electrical Power Conversion and Distribution System Development";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-10";"Integrated airborne antenna for satellite communications in wing – fuselage airframe fairing";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-11";"Ice protection technology based on electromagnetic induction integrated in representative leading edge structure";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-12";"System development for optical fiber sensing technology measurements for  industrial aeronautical contexts: composite manufacturing plants, structural test platforms and airborne conditions";"EU.3.4.5.4.";"ITD Airframe"
"NMBP-29-2017";"Advanced and realistic models and assays for nanomaterial hazard assessment";"EU.2.1.2.2.";"Ensuring the safe and sustainable development and application of nanotechnologies"
"NMBP-30-2016";"Facilitating knowledge management, networking and coordination in the field of formulated products";"EU.2.1.2.";"Nanotechnologies"
"NMBP-30-2016";"Facilitating knowledge management, networking and coordination in the field of formulated products";"EU.2.1.3.";"Advanced materials"
"NMBP-31-2016";"Presidency events";"EU.2.1.1.";"Information and Communication Technologies"
"NMBP-31-2016";"Presidency events";"EU.2.1.2.";"Nanotechnologies"
"NMBP-31-2016";"Presidency events";"EU.2.1.3.";"Advanced materials"
"NMBP-31-2016";"Presidency events";"EU.2.1.4.";"Biotechnology"
"NMBP-31-2016";"Presidency events";"EU.2.1.5.";"Advanced manufacturing and processing"
"NMBP-31-2017";"Presidency events";"EU.2.1.2.";"Nanotechnologies"
"NMBP-31-2017";"Presidency events";"EU.2.1.5.";"Advanced manufacturing and processing"
"NMBP-32-2016";"Support for National Contact Points";"EU.2.1.1.";"Information and Communication Technologies"
"NMBP-32-2016";"Support for National Contact Points";"EU.2.1.2.";"Nanotechnologies"
"NMBP-33-2016";"Networking and sharing best experiences in using regional clusters strategies with a focus on supporting innovation in the NMBP thematic area.";"EU.2.1.1.";"Information and Communication Technologies"
"NMBP-33-2016";"Networking and sharing best experiences in using regional clusters strategies with a focus on supporting innovation in the NMBP thematic area.";"EU.2.1.2.";"Nanotechnologies"
"NMBP-33-2018";"Innovative and affordable solutions for the preventive conservation of cultural heritage (IA)";"EU.2.1.2.";"Nanotechnologies"
"NMBP-33-2018";"Innovative and affordable solutions for the preventive conservation of cultural heritage (IA)";"EU.2.1.3.";"Advanced materials"
"NMBP-34-2017";"Governing innovation of nanotechnology through enhanced societal engagement";"EU.2.1.2.";"Nanotechnologies"
"NMBP-35-2017";"Innovative solutions for the conservation of 20th century cultural heritage";"EU.2.1.2.";"Nanotechnologies"
"NMBP-35-2017";"Innovative solutions for the conservation of 20th century cultural heritage";"EU.2.1.3.";"Advanced materials"
"NMBP-36-2016";"Policy support for Industry 2020 in the circular economy";"EU.2.1.1.";"Information and Communication Technologies"
"NMBP-36-2016";"Policy support for Industry 2020 in the circular economy";"EU.2.1.5.";"Advanced manufacturing and processing"
"NMBP-37-2017";"Mapping a path to future supply chains";"EU.2.1.3.";"Advanced materials"
"NMBP-38-2017";"Support for the enhancement of the impact of PILOT projects";"EU.2.1.2.";"Nanotechnologies"
"NMBP-38-2017";"Support for the enhancement of the impact of PILOT projects";"EU.2.1.3.";"Advanced materials"
"NMBP-38-2017";"Support for the enhancement of the impact of PILOT projects";"EU.2.1.5.";"Advanced manufacturing and processing"
"NMP";"Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing";"EU.2.1.2.";"Nanotechnologies"
"NMP";"Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing";"EU.2.1.3.";"Advanced materials"
"NMP";"Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing";"EU.2.1.4.";"Biotechnology"
"NMP";"Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing";"EU.2.1.5.";"Advanced manufacturing and processing"
"NMP-01-2014";"Open access pilot lines for cost-effective nanocomposites";"EU.2.1.2.4.";"Efficient and sustainable synthesis and manufacturing of nanomaterials, components and systems"
"NMP-02-2015";"Integration of novel nano materials into existing production lines";"EU.2.1.2.2.";"Ensuring the safe and sustainable development and application of nanotechnologies"
"NMP-02-2015";"Integration of novel nano materials into existing production lines";"EU.2.1.2.4.";"Efficient and sustainable synthesis and manufacturing of nanomaterials, components and systems"
"NMP-02-2015";"Integration of novel nano materials into existing production lines";"EU.2.1.2.5.";"Developing and standardisation of capacity-enhancing techniques, measuring methods and equipment"
"NMP-03-2015";"Manufacturing and control of nanoporous materials";"EU.2.1.2.4.";"Efficient and sustainable synthesis and manufacturing of nanomaterials, components and systems"
"NMP-03-2015";"Manufacturing and control of nanoporous materials";"EU.2.1.2.5.";"Developing and standardisation of capacity-enhancing techniques, measuring methods and equipment"
"NMP-04-2014";"High-definition printing of multifunctional materials";"EU.2.1.2.1.";"Developing next generation nanomaterials, nanodevices and nanosystems"
"NMP-05-2014";"Industrial-scale production of nanomaterials for printing applications";"EU.2.1.2.1.";"Developing next generation nanomaterials, nanodevices and nanosystems"
"NMP-06-2015";"Novel nanomatrices and nanocapsules";"EU.2.1.2.2.";"Ensuring the safe and sustainable development and application of nanotechnologies"
"NMP-06-2015";"Novel nanomatrices and nanocapsules";"EU.2.1.2.3.";"Developing the societal dimension of nanotechnology"
"NMP-06-2015";"Novel nanomatrices and nanocapsules";"EU.2.1.2.5.";"Developing and standardisation of capacity-enhancing techniques, measuring methods and equipment"
"NMP-07-2015";"Additive manufacturing for tabletop nanofactories";"EU.2.1.2.1.";"Developing next generation nanomaterials, nanodevices and nanosystems"
"NMP-07-2015";"Additive manufacturing for tabletop nanofactories";"EU.2.1.2.2.";"Ensuring the safe and sustainable development and application of nanotechnologies"
"NMP-07-2015";"Additive manufacturing for tabletop nanofactories";"EU.2.1.2.5.";"Developing and standardisation of capacity-enhancing techniques, measuring methods and equipment"
"SC1-PM-20-2017";"Methods research for improved health economic evaluation";"EU.3.1.5.";"Methods and data"
"SC1-PM-21-2016";"Implementation research for scaling-up of evidence based innovations and good practice in Europe and low- and middle-income countries";"EU.3.1.6.";"Health care provision and integrated care"
"SC1-PM-22-2016";"Addressing the urgent research gaps against the Zika virus and other emerging threats in Latin America";"EU.3.1.3.";"Treating and managing disease"
"SC2-Presidency-2016";"Bioeconomy Presidency Conference: Innovating for Sustainable Growth: a Bioeconomy for Europe";"EU.3.2.";"Food security, sustainable agriculture and forestry, marine and maritime and inland water research and the bioeconomy"
"SC2-Presidency-2017";"SC2-Presidency Event for Food 2030";"EU.3.2.";"Food security, sustainable agriculture and forestry, marine and maritime and inland water research and the bioeconomy"
"SC5-01-2014";"Advanced Earth-system models";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-01-2016-2017";"Exploiting the added value of climate services";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-02-2015";"ERA for Climate Services";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-02-2017";"Integrated European regional modelling and climate prediction system";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-03-2016";"Climate services market research";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-03a-2014";"Economic assessment of climate change";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-03b-2014";"Linkages between climate change actions and sustainable development";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-04-2015";"Improving the air quality and reducing the carbon footprint of European cities";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-04-2017";"Towards a robust and comprehensive greenhouse gas verification system";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-05-2016";"A 1.5 million year look into the past for improving climate predictions";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-05a-2014";"Climate change mitigation options";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-05b-2015";"Earth-system modelling and climate services";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-06-2014";"Biodiversity and ecosystem services: drivers of change and causalities";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-06-2016-2017";"Pathways towards the decarbonisation and resilience of the European economy in the timeframe 2030-2050 and beyond";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-07-2015";"More effective ecosystem restoration in the EU";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-07-2017";"Coordinating and supporting research and innovation actions on the decarbonisation of the EU economy";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-08-2014";"Preparing and promoting innovation procurement for soil decontamination";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-08-2017";"Large-scale demonstrators on nature-based solutions for hydro-meteorological risk reduction";"EU.3.5.1.2.";"Assess impacts, vulnerabilities and develop innovative cost-effective adaptation and risk prevention and management measures"
"SC5-08-2017";"Large-scale demonstrators on nature-based solutions for hydro-meteorological risk reduction";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-09-2014";"Consolidating the European Research Area on biodiversity and ecosystem services";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-09-2016";"Operationalising insurance value of ecosystems";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-09-2018-2019";"New solutions for the sustainable production of raw materials";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-10-2016";"Multi-stakeholder dialogue platform to promote innovation with nature to address societal challenges";"EU.3.5.1.";"Fighting and adapting to climate change"
"SC5-10-2016";"Multi-stakeholder dialogue platform to promote innovation with nature to address societal challenges";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-10-2019-2020";"Raw materials innovation actions: exploration and Earth observation in support of sustainable mining";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-10a-2014";"Enhancing mapping ecosystems and their services";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-10b-2014";"Structuring research on soil, land-use and land management in Europe";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-10c-2015";"An EU support mechanism for evidence-based policy on biodiversity & ecosystems services";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-11-2016";"Supporting international cooperation activities on water";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-11-2018";"Digital solutions for water: linking the physical and digital world for water solutions";"EU.3.5.2.2.";"Developing integrated approaches to address water-related challenges and the transition to sustainable management and use of water resources and services"
"SC5-11-2018";"Digital solutions for water: linking the physical and digital world for water solutions";"EU.3.5.4.";"Enabling the transition towards a green economy and society through eco-innovation"
"SC5-11a-2014";"Mining of small and complex deposits and alternative mining";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-11b-2014";"Flexible processing technologies";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-11c-2015";"Deep mining on continent and/or in sea-bed";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-11d-2015";"New sustainable exploration technologies and geomodels";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-11e-2015";"New metallurgical systems";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"SC5-12-2016";"Food systems and water resources for the development of inclusive, sustainable and healthy Euro-Mediterranean societies";"EU.3.5.2.";"Protection of the environment, sustainable management of natural resources, water , biodiversity and ecosystems"
"SC5-12-2018";"EU-India water co-operation";"EU.3.5.2.2.";"Developing integrated approaches to address water-related challenges and the transition to sustainable management and use of water resources and services"
"SC5-12-2018";"EU-India water co-operation";"EU.3.5.4.";"Enabling the transition towards a green economy and society through eco-innovation"
"SC5-12a-2014";"Materials for electronic devices";"EU.3.5.3.";" Ensuring the sustainable supply of non-energy and non-agricultural raw materials"
"JTI-CS2-2015-CFP02-AIR-02-13";"Prototype Manufacturing Tooling for Single Parts Manufacturing of the Rotorless tail for LifeRCraft.";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-14";"Prototype Tooling for Sub-Assembly, Final Assembly and Transport of the Rotorless tail for the Compound RC.";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-15";"Design Against Distortion: Part distortion prediction, design for minimized distortion, carbon-epoxy aerospace parts";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-AIR-02-16";"Process development for composite frames manufacturing with high production rate and low cost";"EU.3.4.5.4.";"ITD Airframe"
"JTI-CS2-2015-CFP02-ENG-01-02";"Conventional and Smart Bearings for Ground Test Demo";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-01-03";"More electric, advanced hydromechanics propeller control components";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-01-04";"Engine Mounting System (EMS) for Ground Test Turboprop Engine Demonstrator";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-02-02";"Integration of Laser Beam Melting Simulation in the tool landscape for process preparation of Additive Manufacturing (AM) for Aero Engine applications";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-02-03";"Integration of a property simulation tool for integrated virtual design & manufacturing of forged discs/rotors for aero engine applications";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-03-01";"Industry focused eco-design";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-03-02";"Jet Noise Reduction Using Predictive Methods";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-03-03";"Catalytic control of fuel properties for large VHBR engines";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-03-04";"Development of coupled short intake / low speed fan methods and experimental validation";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-ENG-04-05";"Powerplant Shaft Dynamic and associated damping system";"EU.3.4.5.5.";"ITD Engines"
"JTI-CS2-2015-CFP02-FRC-01-01";"Development and demonstration of materials and manufacturing process for ultra high reliability electric Anti-ice/De-ice thermal layers for high strain civil rotor blades and airframe sections of tiltrotor";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2015-CFP02-FRC-01-02";"Development and demonstration of materials and manufacturing process for high power density homokinetic drive joints for civil rotor applications";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2015-CFP02-FRC-01-03";"Development and validation of an optimised gearbox housing structural design and manufacturing process, based on additive layer manufacturing concept leading to a flight cleared demonstrator.";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
"JTI-CS2-2015-CFP02-FRC-01-04";"Design, development and flight qualification of a highspeed/high torque novel freewheeling clutch architecture for tiltrotor main drive system";"EU.3.4.5.3.";"IADP Fast Rotorcraft"
